seed_value,policy_name,estimated_path
111,random_walk,[((5, 6), 'S'), ((5, 5), 'N'), ((4, 5), 'W'), ((4, 6), 'S'), ((3, 6), 'W'), ((4, 6), 'E'), ((4, 7), 'S'), ((4, 6), 'N'), ((5, 6), 'E'), ((6, 6), 'E'), ((5, 6), 'W'), ((4, 6), 'W'), ((4, 7), 'S'), ((3, 7), 'W'), ((3, 8), 'S'), ((3, 7), 'N'), ((2, 7), 'W'), ((2, 8), 'S'), ((2, 7), 'N'), ((1, 7), 'W'), ((1, 8), 'S'), ((1, 9), 'S'), ((1, 9), 'S'), ((1, 8), 'N'), ((1, 7), 'N'), ((1, 6), 'N'), ((1, 7), 'S'), ((0, 7), 'W'), ((0, 8), 'S'), ((0, 7), 'N'), ((1, 7), 'E'), ((1, 8), 'S'), ((2, 8), 'E'), ((2, 7), 'N'), ((1, 7), 'W'), ((2, 7), 'E'), ((1, 7), 'W'), ((0, 7), 'W'), ((0, 7), 'W'), ((0, 6), 'N'), ((1, 6), 'E'), ((2, 6), 'E'), ((2, 5), 'N'), ((1, 5), 'W'), ((0, 5), 'W'), ((0, 6), 'S'), ((0, 5), 'N'), ((0, 6), 'S'), ((0, 5), 'N'), ((0, 4), 'N')]
111,straight_until_obstacle,[((6, 5), 'E'), ((7, 5), 'E'), ((8, 5), 'E'), ((9, 5), 'E'), ((9, 5), 'E'), ((8, 5), 'W'), ((7, 5), 'W'), ((6, 5), 'W'), ((5, 5), 'W'), ((4, 5), 'W'), ((3, 5), 'W'), ((2, 5), 'W'), ((1, 5), 'W'), ((0, 5), 'W'), ((0, 5), 'W'), ((0, 4), 'N'), ((0, 3), 'N'), ((0, 2), 'N'), ((0, 1), 'N'), ((0, 0), 'N'), ((1, 0), 'E'), ((2, 0), 'E'), ((3, 0), 'E'), ((4, 0), 'E'), ((5, 0), 'E'), ((6, 0), 'E'), ((7, 0), 'E'), ((8, 0), 'E'), ((9, 0), 'E'), ((9, 0), 'E'), ((9, 0), 'E'), ((9, 1), 'S'), ((9, 2), 'S'), ((9, 3), 'S'), ((9, 4), 'S'), ((9, 5), 'S'), ((9, 6), 'S'), ((9, 7), 'S'), ((9, 8), 'S'), ((9, 9), 'S'), ((9, 9), 'E'), ((9, 8), 'N'), ((9, 7), 'N'), ((9, 6), 'N'), ((9, 5), 'N'), ((9, 4), 'N'), ((9, 3), 'N'), ((9, 2), 'N'), ((9, 1), 'N'), ((9, 0), 'N')]
seed_value,policy_name,estimated_path
666,random_walk,[((4, 5), 'W'), ((4, 6), 'S'), ((3, 6), 'W'), ((3, 5), 'N'), ((4, 5), 'E'), ((4, 4), 'N'), ((4, 3), 'N'), ((3, 3), 'W'), ((2, 3), 'W'), ((1, 3), 'W'), ((1, 4), 'S'), ((2, 4), 'E'), ((3, 4), 'E'), ((3, 3), 'N'), ((3, 2), 'N'), ((3, 3), 'S'), ((4, 3), 'E'), ((5, 3), 'E'), ((4, 3), 'W'), ((4, 4), 'S'), ((4, 5), 'S'), ((4, 6), 'S'), ((4, 5), 'N'), ((4, 6), 'S'), ((5, 6), 'E'), ((6, 6), 'E'), ((6, 5), 'N'), ((6, 4), 'N'), ((6, 3), 'N'), ((5, 3), 'W'), ((5, 2), 'N'), ((5, 1), 'N'), ((6, 1), 'E'), ((7, 1), 'E'), ((8, 1), 'E'), ((8, 2), 'S'), ((7, 2), 'W'), ((7, 3), 'S'), ((7, 2), 'N'), ((6, 2), 'W'), ((6, 1), 'N'), ((5, 1), 'W'), ((4, 1), 'W'), ((4, 2), 'S'), ((3, 2), 'W'), ((2, 2), 'W'), ((3, 2), 'E'), ((2, 2), 'W'), ((2, 3), 'S'), ((2, 4), 'S')]
666,straight_until_obstacle,[((4, 5), 'W'), ((3, 5), 'W'), ((2, 5), 'W'), ((1, 5), 'W'), ((0, 5), 'W'), ((1, 5), 'E'), ((2, 5), 'E'), ((3, 5), 'E'), ((4, 5), 'E'), ((5, 5), 'E'), ((6, 5), 'E'), ((7, 5), 'E'), ((8, 5), 'E'), ((9, 5), 'E'), ((9, 4), 'N'), ((9, 3), 'N'), ((9, 2), 'N'), ((9, 1), 'N'), ((9, 0), 'N'), ((8, 0), 'W'), ((7, 0), 'W'), ((6, 0), 'W'), ((5, 0), 'W'), ((4, 0), 'W'), ((3, 0), 'W'), ((2, 0), 'W'), ((1, 0), 'W'), ((0, 0), 'W'), ((1, 0), 'E'), ((2, 0), 'E'), ((3, 0), 'E'), ((4, 0), 'E'), ((5, 0), 'E'), ((6, 0), 'E'), ((7, 0), 'E'), ((8, 0), 'E'), ((9, 0), 'E'), ((8, 0), 'W'), ((7, 0), 'W'), ((6, 0), 'W'), ((5, 0), 'W'), ((4, 0), 'W'), ((3, 0), 'W'), ((2, 0), 'W'), ((1, 0), 'W'), ((0, 0), 'W'), ((0, 0), 'W'), ((0, 0), 'W'), ((0, 1), 'S'), ((0, 2), 'S')]
seed_value,policy_name,estimated_path
42,random_walk,[((5, 4), 'N'), ((5, 5), 'S'), ((6, 5), 'E'), ((7, 5), 'E'), ((7, 4), 'N'), ((7, 3), 'N'), ((7, 2), 'N'), ((6, 2), 'W'), ((6, 1), 'N'), ((6, 0), 'N'), ((7, 0), 'E'), ((8, 0), 'E'), ((8, 0), 'N'), ((8, 0), 'N'), ((8, 0), 'N'), ((8, 1), 'S'), ((8, 0), 'N'), ((9, 0), 'E'), ((8, 0), 'W'), ((8, 0), 'N'), ((9, 0), 'E'), ((8, 0), 'W'), ((8, 1), 'S'), ((8, 2), 'S'), ((9, 2), 'E'), ((9, 2), 'E'), ((9, 3), 'S'), ((9, 2), 'N'), ((9, 1), 'N'), ((8, 1), 'W'), ((8, 0), 'N'), ((8, 1), 'S'), ((8, 2), 'S'), ((8, 3), 'S'), ((8, 2), 'N'), ((7, 2), 'W'), ((6, 2), 'W'), ((5, 2), 'W'), ((5, 1), 'N'), ((6, 1), 'E'), ((6, 2), 'S'), ((7, 2), 'E'), ((7, 1), 'N'), ((8, 1), 'E'), ((7, 1), 'W'), ((8, 1), 'E'), ((8, 0), 'N'), ((9, 0), 'E'), ((9, 0), 'E'), ((8, 0), 'W')]
42,straight_until_obstacle,[((5, 6), 'S'), ((5, 7), 'S'), ((5, 8), 'S'), ((5, 9), 'S'), ((4, 9), 'W'), ((3, 9), 'W'), ((2, 9), 'W'), ((1, 9), 'W'), ((0, 9), 'W'), ((0, 9), 'W'), ((1, 9), 'E'), ((2, 9), 'E'), ((3, 9), 'E'), ((4, 9), 'E'), ((5, 9), 'E'), ((6, 9), 'E'), ((7, 9), 'E'), ((8, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 8), 'N'), ((9, 7), 'N'), ((9, 6), 'N'), ((9, 5), 'N'), ((9, 4), 'N'), ((9, 3), 'N'), ((9, 2), 'N'), ((9, 1), 'N'), ((9, 0), 'N'), ((9, 0), 'E'), ((9, 0), 'E'), ((9, 0), 'E'), ((8, 0), 'W'), ((7, 0), 'W'), ((6, 0), 'W'), ((5, 0), 'W'), ((4, 0), 'W'), ((3, 0), 'W'), ((2, 0), 'W'), ((1, 0), 'W'), ((0, 0), 'W'), ((0, 0), 'W'), ((0, 1), 'S'), ((0, 2), 'S'), ((0, 3), 'S'), ((0, 4), 'S'), ((0, 5), 'S')]
seed_value,policy_name,estimated_path
20,random_walk,[((5, 6), 'S'), ((5, 5), 'N'), ((5, 6), 'S'), ((6, 6), 'E'), ((6, 5), 'N'), ((5, 5), 'W'), ((4, 5), 'W'), ((4, 4), 'N'), ((5, 4), 'E'), ((5, 3), 'N'), ((4, 3), 'W'), ((4, 4), 'S'), ((3, 4), 'W'), ((3, 5), 'S'), ((3, 4), 'N'), ((4, 4), 'E'), ((4, 5), 'S'), ((3, 5), 'W'), ((4, 5), 'E'), ((4, 6), 'S'), ((3, 6), 'W'), ((2, 6), 'W'), ((2, 7), 'S'), ((2, 6), 'N'), ((3, 6), 'E'), ((3, 5), 'N'), ((3, 4), 'N'), ((4, 4), 'E'), ((3, 4), 'W'), ((3, 3), 'N'), ((4, 3), 'E'), ((5, 3), 'E'), ((6, 3), 'E'), ((6, 4), 'S'), ((6, 5), 'S'), ((6, 6), 'S'), ((6, 5), 'N'), ((6, 4), 'N'), ((6, 5), 'S'), ((7, 5), 'E'), ((8, 5), 'E'), ((9, 5), 'E'), ((9, 5), 'E'), ((9, 4), 'N'), ((9, 3), 'N'), ((9, 4), 'S'), ((8, 4), 'W'), ((8, 5), 'S'), ((8, 6), 'S'), ((8, 7), 'S')]
20,straight_until_obstacle,[((5, 6), 'S'), ((5, 7), 'S'), ((5, 8), 'S'), ((5, 9), 'S'), ((4, 9), 'W'), ((3, 9), 'W'), ((2, 9), 'W'), ((1, 9), 'W'), ((0, 9), 'W'), ((1, 9), 'E'), ((2, 9), 'E'), ((3, 9), 'E'), ((4, 9), 'E'), ((5, 9), 'E'), ((6, 9), 'E'), ((7, 9), 'E'), ((8, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((8, 9), 'W'), ((7, 9), 'W'), ((6, 9), 'W'), ((5, 9), 'W'), ((4, 9), 'W'), ((3, 9), 'W'), ((2, 9), 'W'), ((1, 9), 'W'), ((0, 9), 'W'), ((0, 8), 'N'), ((0, 7), 'N'), ((0, 6), 'N'), ((0, 5), 'N'), ((0, 4), 'N'), ((0, 3), 'N'), ((0, 2), 'N'), ((0, 1), 'N'), ((0, 0), 'N'), ((1, 0), 'E'), ((2, 0), 'E'), ((3, 0), 'E'), ((4, 0), 'E'), ((5, 0), 'E'), ((6, 0), 'E'), ((7, 0), 'E'), ((8, 0), 'E'), ((9, 0), 'E'), ((8, 0), 'W'), ((7, 0), 'W'), ((6, 0), 'W'), ((5, 0), 'W')]
